Rank,Username,Owner,Followers(millions),Profession/Activity,Country
1,@instagram,Instagram,663,Social media platform,United States
2,@cristiano,Cristiano Ronaldo,613,Footballer,Portugal
3,@leomessi,Lionel Messi,493,Footballer,Argentina
4,@selenagomez,Selena Gomez,429,Musician and actress,United States
5,@kyliejenner,Kylie Jenner,399,Media personality,United States
6,@therock,Dwayne Johnson,393,Actor and professional wrestler,United States
7,@arianagrande,Ariana Grande,380,Musician and actress,United States
8,@kimkardashian,Kim Kardashian,364,Media personality,United States
9,@beyonce,Beyoncé,318,Musician and actress,United States
10,@khloekardashian,Khloé Kardashian,311,Media personality,United States
11,@nike,Nike,306,Sportswear multinational,United States
12,@kendalljenner,Kendall Jenner,294,Media personality,United States
13,@justinbieber,Justin Bieber,292,Musician,Canada
14,@natgeo,National Geographic,283,Magazine,United States
15,@taylorswift,Taylor Swift,277,Musician,United States
16,@virat.kohli,Virat Kohli,264,Cricketer,India
17,@jlo,Jennifer Lopez,253,Musician and actress,United States
18,@nickiminaj,Nicki Minaj,228,Musician,Trinidad and Tobago United States
19,@kourtneykardash,Kourtney Kardashian,224,Media personality,United States
20,@neymarjr,Neymar,216,Footballer,Brazil
21,@mileycyrus,Miley Cyrus,215,Musician and actress,United States
22,@katyperry,Katy Perry,206,Musician,United States
23,@zendaya,Zendaya,185,Actress and singer,United States
24,@kevinhart4real,Kevin Hart,179,Comedian and actor,United States
25,@iamcardib,Cardi B,169,Musician and actress,United States
26,@kingjames,LeBron James,159,Basketball player,United States
27,@ddlovato,Demi Lovato,157,Musician and actress,United States
28,@badgalriri,Rihanna,152,Musician,Barbados
29,@realmadrid,Real Madrid CF,149,Football club,Spain
30,@chrisbrownofficial,Chris Brown,144,Musician,United States
31,@champagnepapi,Drake,144,Musician,Canada
32,@ellendegeneres,Ellen DeGeneres,139,Comedian and television host,United States
33,@fcbarcelona,FC Barcelona,124,Football club,Spain
34,@championsleague,UEFA Champions League,111,Club football competition,Europe
35,@k.mbappe,Kylian Mbappé,110,Footballer,France
36,@billieeilish,Billie Eilish,110,Musician,United States
37,@gal_gadot,Gal Gadot,109,Actress,Israel
38,@vindiesel,Vin Diesel,101,Actor,United States
39,@lalalalisa_m,Lisa,99.1,Musician,Thailand
40,@nasa,NASA,97,Space agency,United States
41,@shakira,Shakira,90.1,Musician,Colombia
42,@priyankachopra,Priyanka Chopra,89.9,Actress,India
43,@dualipa,Dua Lipa,88.4,Musician,United Kingdom Albania
44,@davidbeckham,David Beckham,86.1,Former footballer,United Kingdom
45,@shraddhakapoor,Shraddha Kapoor,84.7,Actress,India
46,@nba,NBA,84.2,Professional basketball league,United States Canada
47,@snoopdogg,Snoop Dogg,83.1,Musician,United States
48,@jennierubyjane,Jennie,82.1,Musician,South Korea
49,@narendramodi,Narendra Modi,81.8,Prime Minister of India,India
50,@aliaabhatt,Alia Bhatt,81,Actress,United Kingdom /  India
