Rank,Username,Owner,Followers(millions),Likes(billions),Description,Country
1,@khaby.lame,Khabane Lame,162.2,2.4,Social media personality,Italy Senegal
2,@charlidamelio,Charli D'Amelio,151.6,11.5,Dancer and social media personality,United States
3,@bellapoarch,Bella Poarch,93.4,2.3,Singer and social media personality,Philippines  United States
4,@mrbeast,MrBeast,89.2,0.88,Social media personality,United States
5,@addisonre,Addison Rae,88.8,5.80,Social media personality and dancer,
6,@kimberly.loaiza,Kimberly Loaiza,79.8,4.8,Singer and social media personality,Mexico
7,@zachking,Zach King,79.7,1.1,Social media personality,United States
8,@tiktok,TikTok,76.1,0.30,Social media platform,China
9,@cznburak,Burak Özdemir,74.6,1.40,Social media personality,Turkey
10,@willsmith,Will Smith,74.2,0.52,Actor and film producer,United States
11,@therock,The Rock,73.5,0.51,Actor and former wrestler,
12,@domelipa,Dominik Lipa,70.6,4.4,Social media personality,Mexico
13,@bts_official_bighit,BTS,63.2,1.3,Band,South Korea
14,@selenagomez,Selena Gomez,59.4,0.61,"Musician, songwriter, actress, producer and businesswoman",United States
15,@jasonderulo,Jason Derulo,58.2,1.3,"Singer, songwriter, and dancer",
16,@dixiedamelio,Dixie D'Amelio,56.8,3.3,Singer and social media personality,
17,@ox_zung,Won Jeong,55.7,1.7,Social media personality,South Korea
18,@spencerx,Spencer Polanco Knight,55,1.3,Beatboxer and social media personality,United States
19,@kyliejenner,Kylie Jenner,54.7,1.3,Model and socialite,
20,@lorengray,Loren Gray,54.1,3.0,"Singer, dancer, actress, and social media personality",
21,@bayashi.tiktok,Bayashi,53.7,1.6,Social media personality,Japan
22,@youneszarou,Younes Zarou,53.4,1.1,Germany,
23,@justmaiko,Michael Le,51.8,1.4,Dancer and social media personality,United States
24,@homm9k,HOMA,51.8,1.2,Social media personality,Kazakhstan
25,@billieeilish,Billie Eilish,51,0.28,Singer and songwriter,United States
26,@karolg,Karol G,50.1,0.37,Singer,Colombia
27,@kallmekris,Kris Collins,50,2.3,Social media personality,Canada
28,@brentrivera,Brent Rivera,47.3,1.6,Social media personality,United States
29,@bp_tiktok,Blackpink,46.9,0.54,Band,South Korea
30,@williesalim,Willie Salim,45.9,0.71,Social media personality,Indonesia
31,@riyaz.14,Riyaz Aly,45.9,2.1,Social media personality,India
32,@itsjojosiwa,JoJo Siwa,45.6,1.8,"Singer, dancer, and social media personality",United States
33,@carlosferiag,Carlos Feria,45.2,2.3,Social media personality,Colombia
34,@joealbanese,Joe Albanese,44,1.7,United States,
35,@junya1gou,Junya Gou,44,0.70,Japan,
36,@pongamoslo_a_prueba,Pongámoslo a Prueba,43.7,1.5,Mexico,
37,@avani,Avani Gregg,43,3.0,United States,
38,@elrodcontreras,Rod Contreras,43,2.4,Mexico,
39,@riaricis,Ria Ricis,41.9,1.4,Indonesia,
40,@xoteam,XO Team,41.6,1.3,Social media personality,Russia
41,@nianaguerrero,Niana Guerrero,41.4,0.87,Social media personality,Philippines
42,@vilmeijuga,Vilmei,41.1,0.90,Social media personality,Indonesia
43,@psg,Paris Saint-Germain,40.8,0.61,Football club,France
44,@anokhinalz,Liza Anokhina,40.7,1.4,Social media personality,Russia
45,@roses_are_rosie,Rosé,40.7,0.41,Singer,South Korea
46,@gordonramsayofficial,Gordon Ramsay,39.7,0.64,"Chef, television personality",United Kingdom
47,@montpantoja,Paola Montserrat Pantoja Lizárraga,38.9,2.1,Social media personality,Mexico
48,@dobretwins,Lucas and Marcus,38.6,1.0,Social media personalities,United States
49,@shakira,Shakira,38.4,0.26,Singer,Colombia
50,@scottsreality,Scott Hentzepeter,38.3,0.91,Social media personality,Netherlands
