Rank,Username,Owner,Followers (millions),Description,Country
1,@elonmusk,Elon Musk,161,Business magnate and owner of X,United States
2,@BarackObama,Barack Obama,132,44th President of the United States,United States
3,@justinbieber,Justin Bieber,111.6,Musician,Canada
4,@Cristiano,Cristiano Ronaldo,110,Football player,Portugal
5,@rihanna,Rihanna,108.5,Musician,Barbados
6,@katyperry,Katy Perry,107.1,Musician,United States
7,@taylorswift13,Taylor Swift,94.6,Musician,United States
8,@narendramodi,Narendra Modi,92.7,Prime Minister of India,India
9,@realDonaldTrump,Donald Trump,87.4,45th President of the United States,United States
10,@ladygaga,Lady Gaga,83.9,Musician and actress,United States
11,@YouTube,YouTube,79.4,Online video sharing platform,United States
12,@NASA,NASA,77.7,Space agency,United States
13,@KimKardashian,Kim Kardashian,75.2,Television personality,United States
14,@EllenDeGeneres,Ellen DeGeneres,75,Comedian and television host,United States
15,@X,X,67,Operator of platform,United States
16,@selenagomez,Selena Gomez,66.6,Musician and actress,United States
17,@BillGates,Bill Gates,64.1,Businessman and philanthropist,United States
18,@cnnbrk,CNN Breaking News,63.9,News channel,United States
19,@neymarjr,Neymar,63,Football player,Brazil
20,@CNN,CNN,61.8,News channel,United States
21,@jtimberlake,Justin Timberlake,61.3,Musician and actor,United States
22,@imVkohli,Virat Kohli,58.6,Cricket player,India
23,@nytimes,The New York Times,55.1,Newspaper,United States
24,@britneyspears,Britney Spears,55.1,Musician,United States
25,@PMOIndia,PMO India,54.5,Office of the Prime Minister of India,India
26,@shakira,Shakira,53.8,Musician,Colombia
27,@ddlovato,Demi Lovato,52.9,Musician and actress,United States
28,@KingJames,LeBron James,52.7,Basketball player,United States
29,@BBCBreaking,BBC Breaking News,51.7,News channel,United Kingdom
30,@ChampionsLeague,UEFA Champions League,50.3,Football league,Europe
31,@jimmyfallon,Jimmy Fallon,50.2,Comedian and television host,United States
32,@realmadrid,Real Madrid CF,49.2,Football club,Spain
33,@SrBachchan,Amitabh Bachchan,48.6,Actor,India
34,@BTS_twt,BTS,48.5,Musicians,South Korea
35,@espn,ESPN,48.3,Sports channel,United States
36,@FCBarcelona,FC Barcelona,48.1,Football club,Spain
37,@MileyCyrus,Miley Cyrus,46.5,Musician and actress,United States
38,@akshaykumar,Akshay Kumar,46.2,Actor,India
39,@BeingSalmanKhan,Salman Khan,45.4,Actor,India
40,@JLo,Jennifer Lopez,44.8,Musician and actress,United States
41,@NBA,NBA,44.6,Basketball league,United States Canada
42,@iamsrk,Shah Rukh Khan,43.8,Actor,India
43,@bts_bighit,BTS,43.6,Musicians,South Korea
44,@BrunoMars,Bruno Mars,42.6,Musician,United States
45,@premierleague,Premier League,42.4,Football league,England Wales
46,@Oprah,Oprah Winfrey,42,Television personality,United States
47,@SportsCenter,SportsCenter,41.9,Sports channel,United States
48,@BBCWorld,BBC World News,40.3,News channel,United Kingdom
49,@NiallOfficial,Niall Horan,40.3,Musician,Ireland
50,@KylieJenner,Kylie Jenner,40.1,Television personality,United States
